"","grp_code","state","group","emp_rate","unemp_rate"
"607",34,"Louisiana","Women, 20 to 24 years",55.7,12.4
"608",35,"Louisiana","Women, 25 to 34 years",66.9,7.4
"609",36,"Louisiana","Women, 35 to 44 years",69,4.2
"610",37,"Louisiana","Women, 45 to 54 years",65.2,3.9
"611",38,"Louisiana","Women, 55 to 64 years",46.1,7.2
"612",39,"Louisiana","Women, 65 years and over",12.1,1.3
"628",26,"Maine","Men, 16 to 19 years",37.4,21.9
"629",27,"Maine","Men, 20 to 24 years",71.2,9.9
"630",28,"Maine","Men, 25 to 34 years",80.9,9.6
"631",29,"Maine","Men, 35 to 44 years",83.1,7.3
"632",30,"Maine","Men, 45 to 54 years",79.5,4.3
"633",31,"Maine","Men, 55 to 64 years",69.9,4.3
"634",32,"Maine","Men, 65 years and over",22,6.6
"635",33,"Maine","Women, 16 to 19 years",42.4,20.3
"636",34,"Maine","Women, 20 to 24 years",70.3,8.4
"637",35,"Maine","Women, 25 to 34 years",71.4,6.7
"638",36,"Maine","Women, 35 to 44 years",77.5,4.1
"639",37,"Maine","Women, 45 to 54 years",72.8,6.1
"640",38,"Maine","Women, 55 to 64 years",63.2,3.3
"641",39,"Maine","Women, 65 years and over",17,7.1
"661",26,"Maryland","Men, 16 to 19 years",21.7,29.6
"662",27,"Maryland","Men, 20 to 24 years",65.1,12.6
"663",28,"Maryland","Men, 25 to 34 years",85,5.7
"664",29,"Maryland","Men, 35 to 44 years",87.5,6.3
"665",30,"Maryland","Men, 45 to 54 years",83,5.7
"666",31,"Maryland","Men, 55 to 64 years",71.3,5.4
"667",32,"Maryland","Men, 65 years and over",26,5.5
"668",33,"Maryland","Women, 16 to 19 years",27.1,24.5
"669",34,"Maryland","Women, 20 to 24 years",62.6,8.1
"670",35,"Maryland","Women, 25 to 34 years",73.8,5.8
"671",36,"Maryland","Women, 35 to 44 years",74,5.8
"672",37,"Maryland","Women, 45 to 54 years",76.7,5.3
"673",38,"Maryland","Women, 55 to 64 years",64.5,4
"674",39,"Maryland","Women, 65 years and over",18.4,4.6
"694",26,"Massachusetts","Men, 16 to 19 years",24.5,21.3
"695",27,"Massachusetts","Men, 20 to 24 years",57,18.3
"696",28,"Massachusetts","Men, 25 to 34 years",83.1,6.8
"697",29,"Massachusetts","Men, 35 to 44 years",86.6,5.6
